new_agreementnumber	new_effectivedate	new_expirydate	new_settlementdate	new_jurprov	new_jurisdictioncode	new_employeecount	new_naicscodeid_firsttwodigit	new_publicprivate	new_naicscodeid	new_summaryreportavailabilityindicator	new_province	new_provinceenglish	new_provincefrench	new_citynameenglish	new_citynamefrench	new_cityprovincenameenglish	new_cityprovincenamefrench	new_unionid	new_unionnameenglish	new_unionnamefrench	new_affiliationtext	new_unionacronymenglish	new_unionacronymfrench	new_noccodeid	new_name_e	new_name_f	new_companyofficialnameeng	new_companyofficialnamefra	new_currentagreementindicator
09207-06	2017-05-03	2021-05-02			20	34	48	Private	48811	No	48	Alberta		Edmonton	Edmonton	Alberta	Alberta		Teamsters Canada	Teamsters Canada	16	CtW/CLC	CtW/CLC	7534	7534 - Air transport ramp attendants	7534 - Agents/agentes de piste dans le transport aérien	ASIG Canada Ltd. dba Menzies Aviation	ASIG Canada Ltd. dba Menzies Aviation	Current
09235-06	2017-05-03	2021-05-02			20	64	48	Private	48811	No	48	Alberta		Calgary	Calgary	Alberta	Alberta		Teamsters Canada	Teamsters Canada	16	CtW/CLC	CtW/CLC	7	7 - Trades, transport and equipment operators and related occupations	7 - Métiers, transport, machinerie et domaines apparentés	ASIG Canada Ltd. dba Menzies Aviation	ASIG Canada Ltd. dba Menzies Aviation	Current
09324-09	2017-03-24	2019-03-23			20	6	48	Private	484121	No	35	Ontario		Province wide	à l'échelle de la province	Ontario	Ontario		Teamsters Canada	Teamsters Canada	16	CtW/CLC	CtW/CLC	7	7 - Trades, transport and equipment operators and related occupations	7 - Métiers, transport, machinerie et domaines apparentés	TST Overland Express	TST Overland Express	Current
12542-07	2017-04-08	2022-04-07	2017-07-13		20	11	49	Public	492110	No	24	Quebec		Québec	Québec	Quebec	Québec		Teamsters Canada	Teamsters Canada	16	CtW/CLC	CtW/CLC	1521	1521 - Shippers and receivers	1521 - Expéditeurs/expéditrices et réceptionnaires	Insurance Courier Services	Insurance Courier Services	Current
12980-06	2017-04-08	2022-04-07	2017-07-13		20	65	49	Private	492110	No	24	Quebec		Montréal	Montréal	Quebec	Québec		Teamsters Canada	Teamsters Canada	16	CtW/CLC	CtW/CLC	1521	1521 - Shippers and receivers	1521 - Expéditeurs/expéditrices et réceptionnaires	Insurance Courrier Services, Division of Information Communication Services(I.C.S.) Inc.	Insurance Courrier Services, division de Information Communication Services(I.C.S.) Inc.	Current
13047-05	2017-05-01	2020-04-30			20	6	48	Private	485320	No	24	Quebec		Laval	Laval	Quebec	Québec		Teamsters Canada	Teamsters Canada	16	CtW/CLC	CtW/CLC	7512	7512 - Bus drivers, subway operators and other transit operators	7512 - Conducteurs/conductrices d'autobus et opérateurs/opératrices de métro et autres transports en	Galland Laurentides Inc.	Galland Laurentides Inc.	Current
13071-06	2017-04-01	2020-03-31			20	19	48	Private	484110	No	24	Quebec		Saint-Antonin	Saint-Antonin	Quebec	Québec		Teamsters Canada	Teamsters Canada	16	CtW/CLC	CtW/CLC	7511	7511 - Transport truck drivers	7511 - Conducteurs/conductrices de camions de transport	Transport St-Viateur Inc.	Transport St-Viateur Inc.	Current
13292-04	2017-11-01	2022-04-08			20	25	49	Private	492210	No	24	Quebec		Montréal	Montréal	Quebec	Québec		Teamsters Canada	Teamsters Canada	16	CtW/CLC	CtW/CLC	7514	7514 - Delivery and courier service drivers	7514 - Chauffeurs-livreurs/chauffeuses-livreuses - services de livraison et de messagerie	Les Messageries du Grand Montréal inc.	Les Messageries du Grand Montréal inc.	Current
14415-02	2016-04-01	2019-03-31	2016-07-13		20	0	56	Private	561612	No	35	Ontario		Ottawa	Ottawa	Ontario	Ontario		United Steel, Paper and Forestry, Rubber, Manufacturing, Energy, Allied Industrial and Service Workers Intl. Union	Synd. intl. des travailleurs unis en métallurgie, papier, foresterie, caoutchouc, fabrication, énergie, services, etc.	1	AFL-CIO/CLC	FAT-COI/CTC	6541	6541 - Security guards and related security service occupations	6541 - Agents/agentes de sécurité et personnel assimilé des services de sécurité	Canadian Corps of Commissionaires (Ottawa Division)	Canadian Corps of Commissionaires (Ottawa Division)	Current
14140-03	2017-11-21	2022-12-02			20	80	48	Private	484121	No	24	Quebec		Donnacona	Donnacona	Quebec	Québec		Association syndicale des employé(e)s de production et de service (ASEPS)	Association syndicale des employé(e)s de production et de service (ASEPS)	9	Independent-local	Synd. ind. local	7511	7511 - Transport truck drivers	7511 - Conducteurs/conductrices de camions de transport	Transport Matte Ltd.	Transport Matte ltée	Current
